"fecha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.11.2018 12:00";"29.1";"758.9";"761.1";"-0.8";"34";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"10.0";"11.7";"";"";"";"";"";"";
"20.11.2018 09:00";"23.8";"759.7";"761.8";"0.5";"45";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"18.2";"24.4";"";"";"";"";"";"10.0";"11.1";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"20.11.2018 06:00";"18.7";"759.2";"761.5";"0.4";"59";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"20.11.2018 03:00";"20.2";"758.8";"760.9";"0.2";"54";"Wind blowing from the north-west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"20.11.2018 00:00";"23.1";"758.6";"760.9";"0.7";"39";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"19.11.2018 21:00";"24.4";"757.9";"760.1";"0.6";"38";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"22.1";"28.3";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"19.11.2018 18:00";"26.8";"757.3";"759.4";"-1.6";"31";"Wind blowing from the north-west";"7";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"19.11.2018 15:00";"28.3";"758.9";"761.1";"-1.4";"28";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"19.11.2018 12:00";"26.1";"760.3";"762.5";"-0.6";"32";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"19.11.2018 09:00";"22.1";"760.9";"763.2";"0.6";"40";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"15.8";"22.1";"";"";"";"";"";"10.0";"7.9";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"13.0";"";"";
"19.11.2018 06:00";"17.0";"760.3";"762.6";"-0.1";"67";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"19.11.2018 03:00";"17.4";"760.4";"762.7";"-0.9";"64";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"19.11.2018 00:00";"18.9";"761.3";"763.6";"0.9";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"18.11.2018 21:00";"18.8";"760.4";"762.7";"0.9";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.8";"25.2";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"18.11.2018 18:00";"23.4";"759.5";"761.8";"-0.5";"32";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.9";"";"";"";"";"";"";
"18.11.2018 15:00";"24.9";"760.0";"762.3";"-0.3";"29";"Wind blowing from the south-west";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"5.8";"";"";"";"";"";"";
"18.11.2018 12:00";"22.2";"760.3";"762.6";"0.0";"40";"Wind blowing from the south-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"18.11.2018 09:00";"18.9";"760.3";"762.5";"1.8";"51";"Wind blowing from the south-east";"5";"";"";"no clouds";" ";"";"";"13.2";"19.5";"";"";"";"";"";"10.0";"8.4";"5.0";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"11.0";"";"";
"18.11.2018 06:00";"13.6";"758.5";"760.7";"0.9";"73";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"18.11.2018 03:00";"15.2";"757.6";"759.8";"1.1";"67";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"18.11.2018 00:00";"18.3";"756.5";"758.8";"1.6";"78";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.4";"";"";"";"";"";"";
"17.11.2018 21:00";"19.5";"754.9";"757.0";"2.1";"78";"Wind blowing from the south";"2";"";"";"40%.";" ";"";"";"18.5";"23.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"15.5";"";"";"";"";"";"";
"17.11.2018 18:00";"22.3";"752.8";"754.9";"0.0";"68";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"16.1";"";"";"";"";"";"";
"17.11.2018 15:00";"20.8";"752.8";"755.0";"-1.5";"77";"Wind blowing from the north-west";"3";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"16.7";"5.0";"6";"";"";"";"";
"17.11.2018 12:00";"18.8";"754.3";"756.5";"1.5";"91";"Wind blowing from the south-west";"3";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"7.0";"17.3";"";"";"";"";"";"";
"17.11.2018 09:00";"20.7";"752.8";"754.9";"-1.2";"73";"Wind blowing from the north";"7";"";"";"40%.";" ";"";"";"17.8";"20.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"10.0";"15.6";"Trace of precipitation";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"17.11.2018 06:00";"18.0";"754.0";"756.2";"-3.1";"77";"Wind blowing from the north";"5";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.8";"";"";"";"";"";"";
"17.11.2018 03:00";"18.8";"757.1";"759.3";"-0.9";"70";"Wind blowing from the north";"9";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.2";"";"";"";"";"";"";
"17.11.2018 00:00";"20.6";"758.0";"760.3";"-0.8";"62";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.0";"";"";"";"";"";"";
"16.11.2018 21:00";"19.2";"758.8";"761.1";"0.2";"72";"Wind blowing from the north-east";"2";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"16.0";"20.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.1";"Trace of precipitation";"6";"";"";"";"";
"16.11.2018 18:00";"19.6";"758.6";"760.9";"-2.9";"62";"Wind blowing from the east";"5";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.2";"";"";"";"";"";"";
"16.11.2018 15:00";"20.4";"761.5";"763.7";"-1.8";"55";"Wind blowing from the north-east";"3";"";"";"60%.";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.0";"Trace of precipitation";"6";"";"";"";"";
"16.11.2018 12:00";"18.3";"763.3";"765.5";"-0.6";"53";"Wind blowing from the north-east";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.6";"";"";"";"";"";"";
"16.11.2018 09:00";"16.0";"763.9";"766.2";"-0.3";"50";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"11.4";"22.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"5.5";"10.0";"24";"Surface of ground moist.";"10.0";"";"";
"16.11.2018 06:00";"12.1";"764.2";"766.3";"1.2";"52";"Wind blowing from the south-east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"2.5";"";"";"";"";"";"";
"16.11.2018 03:00";"12.1";"763.0";"765.2";"2.0";"74";"Wind blowing from the south-east";"3";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"7.6";"10.0";"6";"";"";"";"";
"16.11.2018 00:00";"15.9";"761.0";"763.3";"3.0";"80";"Wind blowing from the south-east";"3";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"9.0";"12.5";"";"";"";"";"";"";
"15.11.2018 21:00";"22.7";"758.0";"760.2";"3.1";"50";"Wind blowing from the south-east";"7";"";"";"60%.";" ";"";"";"22.7";"30.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.6";"";"";"";"";"";"";
"15.11.2018 18:00";"27.8";"754.9";"757.1";"0.6";"41";"Wind blowing from the east";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.5";"";"";"";"";"";"";
"15.11.2018 15:00";"30.2";"754.3";"756.5";"-0.3";"33";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.4";"";"";"";"";"";"";
"15.11.2018 12:00";"28.8";"754.6";"756.8";"-0.1";"29";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"15.11.2018 09:00";"23.6";"754.7";"757.0";"1.0";"50";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"18.0";"23.6";"";"";"";"";"";"10.0";"12.6";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"15.11.2018 06:00";"18.2";"753.7";"755.9";"0.8";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"15.11.2018 03:00";"19.0";"752.9";"755.2";"-0.5";"73";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"15.11.2018 00:00";"20.9";"753.4";"755.5";"0.5";"65";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"14.11.2018 21:00";"23.1";"752.9";"755.1";"1.3";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"26.8";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"14.11.2018 18:00";"26.0";"751.6";"753.7";"0.3";"42";"Wind blowing from the south-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.1";"";"";"";"";"";"";
"14.11.2018 15:00";"26.5";"751.3";"753.4";"0.3";"44";"Wind blowing from the south-west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.2";"";"";"";"";"";"";
"14.11.2018 12:00";"24.2";"751.0";"753.2";"-0.3";"45";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.6";"";"";"";"";"";"";
"14.11.2018 09:00";"19.4";"751.3";"753.5";"1.4";"60";"Wind blowing from the south-west";"7";"";"";"20–30%.";" ";"";"";"16.2";"21.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.3";"Trace of precipitation";"24";"Surface of ground moist.";"15.0";"";"";
"14.11.2018 06:00";"16.5";"749.9";"752.2";"0.0";"75";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"14.11.2018 03:00";"17.9";"749.9";"752.1";"-0.5";"80";"Wind blowing from the south-west";"3";"";"";"60%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.3";"";"";"";"";"";"";
"14.11.2018 00:00";"19.5";"750.4";"752.5";"0.6";"83";"Wind blowing from the south-west";"1";"";"";"100%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"16.5";"";"";"";"";"";"";
"13.11.2018 21:00";"21.2";"749.8";"752.0";"1.5";"86";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"21.2";"26.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"18.7";"";"";"";"";"";"";
"13.11.2018 18:00";"25.8";"748.3";"750.5";"-0.3";"76";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.2";"";"";"";"";"";"";
"13.11.2018 15:00";"26.4";"748.6";"750.7";"-1.0";"72";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.0";"";"";"";"";"";"";
"13.11.2018 12:00";"23.6";"749.6";"751.8";"0.3";"85";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"20.9";"";"";"";"";"";"";
"13.11.2018 09:00";"22.2";"749.3";"751.6";"0.6";"93";"Wind blowing from the south-west";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"21.1";"22.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"21.0";"34.0";"24";"Surface of ground wet (standing water in small or large pools on surface).";"21.0";"";"";
"13.11.2018 06:00";"21.6";"748.7";"750.9";"-3.3";"96";"Wind blowing from the north-east";"6";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"9.0";"21.0";"";"";"";"";"";"";
"13.11.2018 03:00";"21.8";"752.0";"754.3";"1.0";"95";"Wind blowing from the south-west";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"9.0";"20.9";"7.0";"6";"";"";"";"";
"13.11.2018 00:00";"22.9";"751.0";"753.1";"-1.8";"86";"Wind blowing from the north-west";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"9.0";"20.5";"";"";"";"";"";"";
"12.11.2018 21:00";"22.5";"752.8";"754.9";"0.9";"94";"Wind blowing from the north-east";"2";"";"";"100%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.5";"28.4";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"9.0";"21.4";"8.0";"6";"";"";"";"";
"12.11.2018 18:00";"26.6";"751.9";"754.1";"-0.1";"68";"Wind blowing from the north-east";"1";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"9.0";"20.3";"";"";"";"";"";"";
"12.11.2018 15:00";"28.1";"752.0";"754.2";"-0.3";"59";"Wind blowing from the north-west";"5";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"19.4";"";"";"";"";"";"";
"12.11.2018 12:00";"26.2";"752.3";"754.6";"-2.3";"61";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"18.1";"";"";"";"";"";"";
"12.11.2018 09:00";"23.6";"754.6";"756.7";"-0.3";"79";"Wind blowing from the north-east";"5";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.8";"23.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"19.8";"Trace of precipitation";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"12.11.2018 06:00";"23.0";"754.9";"757.0";"1.4";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.3";"";"";"";"";"";"";
"12.11.2018 03:00";"22.3";"753.5";"755.7";"0.9";"89";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"20.3";"";"";"";"";"";"";
"12.11.2018 00:00";"22.3";"752.6";"754.9";"-2.6";"82";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"19.0";"";"";"";"";"";"";
"11.11.2018 21:00";"23.1";"755.2";"757.3";"1.1";"88";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"21.7";"25.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.0";"";"";"";"";"";"";
